Symbol,Amount,Price,Worth
HOT,20000000000,0.001867262,37345247.36
COTI,270000000,0.123901547,33453417.57
MANA,90000000,0.320475539,28842798.52
OCEAN,33577514,0.710642885,23861621.44
PAXG,5832.8332,2652.946351,15474193.55
CHR,70000000,0.216723265,15170628.56
DENT,14000000000,0.000933749,13072487.84
CELR,900000000,0.013894843,12505358.44
MKR,7255,1596.228812,11580640.03
RLC,6000000,1.693939634,10163637.8
BAT,50000000,0.191303456,9565172.795
ZRX,27000000,0.352531934,9518362.223
ELF,23620687,0.400722309,9465336.243
BLZ,50000000,0.152470843,7623542.143
LRC,45260186.66,0.13763458,6229366.785
BNB,10010.07971,594.6,5951993.393
MDT,120279494.9,0.049470485,5950284.917
AGI,141823360.1,0.040675683,5768762.081
ARPA,118014274.4,0.04756,5612758.891
POWR,20000000,0.230674224,4613484.474
FUN,1200000000,0.003587783,4305339.334
REQ,40000000,0.107596611,4303864.444
NKN,50000000,0.084769543,4238477.135
wNXM,70000,58.83341082,4118338.757
DIA,10000000,0.403383865,4033838.652
IDEX,78464921.06,0.04429,3475211.354
ANKR,100000000,0.030314532,3031453.222
1INCH,10000000,0.299189794,2991897.944
COMP,57266,48.76520293,2792588.111
AUDIO,20000000,0.138690957,2773819.146
YFI,500,5256.832373,2628416.187
AST,30000000,0.083594381,2507831.422
VIB,29181622,0.07233,2110706.719
STPT,40000000,0.048756298,1950251.9
QKC,200000000,0.009625407,1925081.466
REN,40000000,0.04222,1688800
UMA,677271,2.442384656,1654156.299
DODO,11710661,0.138960062,1627314.183
NMR,100000,16.16422388,1616422.388
OAX,10000001,0.1453,1453000.145
CTSI,10000000,0.143832879,1438328.792
FTX Token,1000000,1.4298,1429800
ABSHIBA.com,8824230,0.139363906,1229779.162
TROY,538511511.5,0.001501281,808457.2874
BBCH,1499.012,351,526153.212
OGN,5000000,0.095688585,478442.9249
FTM,200000000,0.001208954,241790.7241
AGIX,70000000,0.003101663,217116.4181
MANA,90000000,0.001650295,148526.511
PAXG,5832.8332,21.74408164,126829.6013
BAL,50000,2.108983421,105449.171
LINK,5000000,0.018297544,91487.71926
